Model / Method,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-score,ROC-AUC,TP,TN,FP,FN
EfficientNet-B4,0.8397435897435898,0.7971311475409836,0.9974358974358974,0.5769230769230769,0.8861047835990888,0.9667652859960552,389,135,99,1
ViT-B/16,0.8397435897435898,0.8111587982832618,0.9692307692307692,0.6239316239316239,0.883177570093458,0.9407516984440062,378,146,88,12
ResNet50,0.905448717948718,0.8752834467120182,0.9897435897435898,0.7649572649572649,0.9290012033694344,0.9729454306377383,386,179,55,4
Fixed Soft Voting,0.8493589743589743,0.8070539419087137,0.9974358974358974,0.6025641025641025,0.8922018348623854,0.9538406749945212,389,141,93,1
Fixed Hard Voting,0.8076923076923077,0.765748031496063,0.9974358974358974,0.49145299145299143,0.8663697104677061,0.8459675651983345,389,115,119,1
